date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:52	70/70	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20Apr%202018%2006:45:05%20GMT	https://abdulmateen.net/robots.txt		(from )
11:44:53	177853/177853	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Apr%202018%2006:45:05%20GMT	https://abdulmateen.net/	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/index.html	(from )
11:44:54	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20Apr%202018%2006:45:07%20GMT	https://abdulmateen.net/wp-admin/admin-ajax.php	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-admin/admin-ajax.php	(from https://abdulmateen.net/)
11:44:54	476/476	---M-Z	200	added ('OK')	text/css	etag:%221dc-5a667439-0;gz%22	https://abdulmateen.net/wp-content/plugins/animated-typing-effect/assets/css/cursor.css?ver=4.9.3	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/plugins/animated-typing-effect/assets/css/cursor6959.css	(from https://abdulmateen.net/)
11:44:55	1584/1584	---M-Z	200	added ('OK')	text/css	etag:%22630-5a50fb83-0;gz%22	https://abdulmateen.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.6.1	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/plugins/contact-form-7/includes/css/styles1c9b.css	(from https://abdulmateen.net/)
11:44:55	1247/1247	---M--	200	added ('OK')	application/rss+xml	etag:%221cac7a91ceeaea61cf8502f1b9733062%22	https://abdulmateen.net/feed/	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/feed/index.html	(from https://abdulmateen.net/)
11:44:55	280/280	---M--	200	added ('OK')	text/css	etag:%22118-5a50f3c8-0;;;%22	https://abdulmateen.net/wp-content/themes/betheme/style.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/stylef7b6.css	(from https://abdulmateen.net/)
11:44:56	49620/49620	---M-Z	200	added ('OK')	text/css	etag:%22c1d4-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/css/base.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/css/basef7b6.css	(from https://abdulmateen.net/)
11:44:56	917/917	---M--	200	added ('OK')	application/rss+xml	etag:%222757ac7a8526cd5ae0e66fa7f830cdea%22	https://abdulmateen.net/comments/feed/	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/comments/feed/index.html	(from https://abdulmateen.net/)
11:44:56	109339/109339	---M-Z	200	added ('OK')	text/css	etag:%221ab1b-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/css/layout.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/css/layoutf7b6.css	(from https://abdulmateen.net/)
11:44:56	130796/130796	---M-Z	200	added ('OK')	text/css	etag:%221feec-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/css/shortcodes.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/css/shortcodesf7b6.css	(from https://abdulmateen.net/)
11:44:56	58508/58508	---M-Z	200	added ('OK')	text/css	etag:%22e48c-5a50f39e-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/assets/animations/animations.min.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/assets/animations/animations.minf7b6.css	(from https://abdulmateen.net/)
11:44:57	19611/19611	---M-Z	200	added ('OK')	text/css	etag:%224c9b-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/assets/ui/jquery.ui.all.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/assets/ui/jquery.ui.allf7b6.css	(from https://abdulmateen.net/)
11:44:57	18388/18388	---M-Z	200	added ('OK')	text/css	etag:%2247d4-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/assets/prettyPhoto/prettyPhoto.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/assets/prettyPhoto/prettyPhotof7b6.css	(from https://abdulmateen.net/)
11:44:57	10145/10145	---M-Z	200	added ('OK')	text/css	etag:%2227a1-5a50f39e-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.monday.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/assets/jplayer/css/jplayer.blue.mondayf7b6.css	(from https://abdulmateen.net/)
11:44:58	51313/51313	---M-Z	200	added ('OK')	text/css	etag:%22c871-5a50f3a0-0;gz%22	https://abdulmateen.net/wp-content/themes/betheme/css/responsive.css?ver=15	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/themes/betheme/css/responsivef7b6.css	(from https://abdulmateen.net/)
11:44:58	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225817d89a-7918%22	http://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	C:/Users/lenovo/Desktop/portfolio/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css	(from https://abdulmateen.net/)
11:44:58	43009/43009	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a801-5ad655e3-0;gz%22	https://abdulmateen.net/wp-content/plugins/ParticleJs-WP-Plugin-master//includes/particles.js?ver=4.9.3	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/plugins/ParticleJs-WP-Plugin-master/includes/particles6959.js	(from https://abdulmateen.net/)
11:44:59	10056/10056	---M-Z	200	added ('OK')	application/x-javascript	etag:%222748-573f3e38-0;gz%22	https://abdulmateen.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://abdulmateen.net/)
11:44:59	97184/97184	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217ba0-57435a56-0;gz%22	https://abdulmateen.net/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-includes/js/jquery/jqueryb8ff.js	(from https://abdulmateen.net/)
11:44:59	261/261	---M--	200	added ('OK')	application/x-javascript	etag:%22105-5a5917e9-0;;;%22	https://abdulmateen.net/wp-content/plugins/the-preloader/js/preloader-script.js	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-content/plugins/the-preloader/js/preloader-script.js	(from https://abdulmateen.net/)
11:45:00	830/830	---M--	200	added ('OK')	text/xml	date:Thu,%2026%20Apr%202018%2006:45:13%20GMT	https://abdulmateen.net/xmlrpc.php?rsd	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/xmlrpc0db0.php	(from https://abdulmateen.net/)
11:45:00	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a96370-0;gz%22	https://abdulmateen.net/wp-includes/wlwmanifest.xml	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-includes/wlwmanifest.xml	(from https://abdulmateen.net/)
11:45:01	2326/2326	---M--	200	added ('OK')	application/json	date:Thu,%2026%20Apr%202018%2006:45:14%20GMT	https://abdulmateen.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fabdulmateen.net%2F	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-json/oembed/1.0/embeda3ae.json	(from https://abdulmateen.net/)
11:45:01	53718/53718	---MC-	200	added ('OK')	application/json	date:Thu,%2026%20Apr%202018%2006:45:13%20GMT	https://abdulmateen.net/wp-json/	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-json/index.html	(from https://abdulmateen.net/)
11:45:01	2636/2636	---M--	200	added ('OK')	text/xml	date:Thu,%2026%20Apr%202018%2006:45:14%20GMT	https://abdulmateen.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fabdulmateen.net%2F&format=xml	C:/Users/lenovo/Desktop/portfolio/abdulmateen.net/wp-json/oembed/1.0/embed63ac	(from https://abdulmateen.net/)
11:45:03	36841/36841	---MCZ	200	added ('OK')	application/javascript	etag:W/%225adeca3c-8fe9%22	http://static.zotabox.com/c/1/c12cf734beafd538efa8a0a5428596f4/widgets.js	C:/Users/lenovo/Desktop/portfolio/static.zotabox.com/c/1/c12cf734beafd538efa8a0a5428596f4/widgets.js	(from https://abdulmateen.net/)
